#1 - Actual Position	#1 - Desired Position
7138.812	14234.031
7097.937	14319.844
7056.500	14408.156
7015.562	14500.406
6977.562	14589.094
6943.812	14677.031
6910.219	14769.812
6875.969	14860.094
6840.500	14948.250
6804.906	15041.875
6768.937	15133.750
6733.937	15220.875
6701.750	15313.437
6672.844	15406.281
6644.437	15495.344
6615.312	15589.125
6585.344	15684.094
6554.969	15773.656
6524.687	15867.281
6494.656	15962.719
6464.937	16053.344
6436.781	16146.812
6411.687	16241.937
6388.812	16332.344
6366.500	16426.250
6343.719	16523.000
6320.750	16615.125
6297.562	16709.406
6274.375	16806.437
6251.687	16898.969
6229.094	16993.906
6206.781	17092.062
6185.219	17184.187
6165.156	17277.937
6147.031	17375.406
6130.719	17468.719
6115.719	17564.375
6101.094	17663.062
6086.781	17756.812
6072.469	17852.531
6058.562	17951.375
6045.031	18045.406
6031.969	18141.250
6018.969	18239.344
6006.344	18332.531
5994.531	18429.031
5983.594	18528.375
5973.156	18622.562
5963.562	18719.750
5954.312	18818.750
5945.656	18912.875
5937.625	19010.875
5930.406	19110.250
5924.062	19203.437
5918.469	19300.406
5913.625	19398.875
5909.625	19493.094
5906.500	19591.750
5904.094	19691.125
5902.094	19785.187
5901.000	19883.906
5900.500	19982.844
5900.500	20077.000
5900.500	20175.344
5900.500	20272.844
5901.000	20366.375
5902.000	20465.406
5903.812	20563.937
5907.344	20658.094
5911.844	20757.187
5917.344	20854.906
5923.750	20949.219
5930.906	21048.906
5938.969	21145.969
5947.875	21238.969
5957.625	21337.250
5968.281	21433.844
5979.656	21528.344
5991.531	21627.719
6003.937	21724.469
6016.844	21818.344
6030.500	21917.281
6045.156	22013.562
6060.375	22107.344
6075.687	22205.219
6091.187	22299.812
6107.125	22393.156
6123.156	22491.562
6139.156	22586.844
6155.312	22680.437
6172.031	22778.187
6190.125	22872.719
6209.844	22966.000
6231.187	23064.156
6254.094	23157.812
6278.281	23249.094
6303.031	23345.406
6328.219	23439.281
6353.906	23531.312
6379.156	23628.344
6404.000	23722.312
6427.969	23813.219
6451.531	23909.250
6476.469	24003.125
6503.844	24093.219
6533.344	24187.969
6564.656	24280.344
6596.656	24369.156
6629.375	24463.687
6662.031	24557.031
6693.875	24645.906
6724.094	24739.187
6753.469	24832.250
6784.937	24920.187
6819.312	25012.687
6856.031	25105.750
6893.562	25192.469
6931.719	25281.625
6968.812	25373.656
7004.219	25461.219
7038.656	25549.969
7075.406	25642.250
7115.469	25730.437
7157.844	25816.875
7201.094	25907.969
7244.281	25996.594
7285.187	26081.250
7323.594	26170.187
7363.687	26258.094
7407.750	26341.062
7454.594	26428.469
7502.156	26517.406
7548.937	26601.344
7592.781	26686.000
7635.656	26774.094
7682.156	26858.719
7732.156	26940.719
7783.094	27027.719
7833.094	27113.406
7879.500	27192.812
7924.937	27275.719
7974.562	27360.781
8027.906	27441.969
8082.344	27522.250
8135.719	27607.031
8185.469	27690.281
8236.281	27768.187
8291.531	27849.531
8349.062	27932.844
8406.062	28011.969
8459.281	28088.937
8511.969	28170.094
8569.250	28249.875
8629.375	28324.531
8689.719	28402.406
8746.156	28483.094
8801.125	28560.750
8860.625	28634.406
8923.000	28712.437
8984.625	28791.000
9042.281	28865.031
9101.187	28937.875
9164.906	29015.531
9230.750	29092.312
9294.531	29162.844
9353.812	29233.500
9416.812	29308.594
9484.187	29382.781
9552.000	29452.344
9615.469	29522.812
9678.781	29597.031
9747.031	29670.094
9816.844	29737.625
9883.031	29805.844
9946.156	29878.062
10014.656	29949.125
10086.375	30015.406
10156.687	30081.062
10223.062	30150.437
10293.219	30219.219
10367.187	30283.531
10439.531	30346.219
10507.375	30413.375
10579.250	30481.375
10654.906	30546.437
10729.250	30607.125
10798.781	30670.406
10872.094	30736.375
10948.781	30800.562
11023.125	30860.469
11094.531	30919.281
11171.125	30982.312
11250.500	31046.000
11325.969	31106.344
11399.562	31161.594
11478.656	31217.969
11559.375	31278.187
11635.156	31338.187
11712.219	31395.687
11793.625	31449.125
11873.625	31504.312
11948.594	31562.437
12028.375	31620.500
12111.594	31675.812
12191.406	31726.500
12269.969	31777.719
12353.875	31832.500
12437.781	31887.687
12516.562	31940.812
12599.281	31990.219
12685.469	32037.562
12767.687	32087.500
12848.406	32139.187
12934.000	32189.781
13018.906	32237.844
13099.844	32282.406
13185.781	32326.625
13274.250	32373.812
13357.250	32422.719
13441.844	32470.344
13531.312	32516.062
13617.656	32558.156
13702.031	32598.656
13791.500	32641.156
13879.687	32685.875
13962.906	32730.156
14051.406	32772.750
14142.000	32812.750
14228.031	32850.000
14316.656	32886.844
14408.906	32925.625
14496.406	32966.219
14584.562	33006.656
14677.469	33045.219
14767.312	33081.625
14854.844	33114.937
14947.219	33146.406
15037.562	33178.219
15125.625	33212.094
15219.312	33247.125
15312.469	33281.875
15400.719	33315.156
15494.250	33347.156
15588.875	33377.250
15678.375	33405.156
15772.187	33432.156
15866.875	33459.250
15955.625	33487.750
16048.625	33516.969
16144.469	33546.281
16235.469	33574.469
16329.469	33601.219
16426.250	33626.969
16517.656	33651.000
16612.031	33673.031
16709.437	33693.781
16801.469	33713.906
16895.375	33733.844
16992.125	33754.500
17084.094	33775.687
17179.094	33796.969
17277.469	33817.969
17370.344	33838.094
17465.531	33856.812
17564.375	33874.531
17658.000	33891.531
17753.812	33907.687
17852.406	33922.594
17944.812	33936.469
18040.031	33949.031
18138.750	33960.937
18232.781	33972.312
18329.406	33982.750
18428.781	33992.625
18522.625	34002.000
18619.625	34011.062
18719.250	34019.937
18813.062	34028.437
18909.656	34036.469
19008.156	34043.969
19101.656	34050.844
19199.625	34057.219
19299.312	34062.906
19393.094	34068.062
19491.281	34072.469
19590.781	34075.969
19685.187	34078.719
19783.750	34080.687
19882.000	34082.469
19975.031	34082.937
20073.062	34083.469
20171.750	34083.469
20266.062	34083.000
20365.187	34082.000
20463.469	34081.344
20557.687	34079.156
20656.906	34075.937
20755.094	34071.094
20848.875	34065.094
20947.344	34058.406
21043.781	34051.000
21137.937	34042.750
21237.437	34033.656
21334.562	34024.156
21428.687	34013.969
21528.000	34003.500
21624.781	33992.594
21719.312	33981.500
21818.094	33970.375
21913.125	33958.906
22006.125	33946.781
22104.500	33933.750
22200.219	33920.187
22294.156	33905.719
22392.906	33890.250
22487.969	33873.562
22581.625	33855.937
22680.031	33837.469
22774.844	33818.437
22867.562	33798.469
22964.500	33776.906
23057.812	33753.906
23150.812	33730.125
23248.469	33706.594
23342.344	33684.031
23434.344	33662.469
23531.437	33640.594
23625.375	33618.000
23717.187	33594.000
23813.312	33568.500
23905.844	33541.750
23995.656	33513.844
24090.562	33484.281
24184.062	33452.687
24273.969	33420.750
24368.906	33390.406
24462.125	33361.875
24551.281	33333.281
24644.906	33303.312
24738.500	33271.437
24826.312	33238.344
24918.000	33203.656
25010.281	33166.750
25097.562	33129.031
25188.750	33094.250
25281.906	33061.500
25369.094	33027.969
25458.187	32992.187
25550.906	32954.625
25638.625	32914.844
25726.250	32872.187
25817.594	32829.500
25904.875	32790.000
25989.187	32751.937
26078.812	32712.125
26167.531	32670.344
26251.656	32626.312
26339.906	32579.875
26429.250	32533.531
26512.531	32491.094
26598.187	32448.594
26687.156	32403.906
26771.406	32357.031
26853.594	32307.344
26940.312	32256.187
27024.844	32208.969
27105.281	32163.844
27190.219	32116.406
27276.906	32066.656
27357.094	32013.594
27438.500	31960.531
27524.000	31911.281
27606.344	31861.750
27684.969	31809.687
27767.812	31755.062
27851.031	31697.500
27927.687	31643.156
28005.687	31591.500
28088.031	31537.500
28168.219	31480.562
28243.875	31420.219
28323.500	31361.500
28404.844	31306.812
28480.750	31250.187
28555.781	31190.812
28635.125	31127.969
28714.187	31068.281
28787.125	31012.219
28861.187	30953.437
28938.781	30890.875
29013.969	30824.969
29084.594	30763.344
29158.875	30703.344
29235.812	30640.500
29309.437	30573.656
29378.031	30507.375
29450.906	30445.281
29526.031	30381.469
29597.719	30313.906
29665.187	30243.687
29736.469	30178.312
29809.344	30114.156
29878.281	30046.719
29942.531	29975.437
30010.750	29907.500
30081.594	29841.094
30150.531	29771.594
30214.219	29697.906
30280.125	29626.969
30349.156	29559.031
30417.125	29487.875
30479.281	29412.219
30541.625	29338.781
30607.812	29268.500
30674.687	29195.562
30737.531	29118.375
30796.062	29045.031
30857.625	28974.406
30921.594	28899.719
30984.187	28820.406
31041.562	28745.219
31098.906	28671.500
31160.031	28593.594
31222.219	28513.469
31282.187	28438.281
31336.437	28361.844
31391.312	28280.719
31450.000	28200.031
31509.594	28124.281
31566.781	28045.781
31618.687	27963.312
31671.094	27884.531
31726.781	27806.125
31783.219	27723.469
31837.469	27639.687
31886.656	27560.812
31934.094	27479.500
31985.187	27393.250
32038.250	27310.844
32091.187	27229.719
32141.156	27144.375
32186.969	27059.250
32232.812	26979.125
32281.812	26895.406
32332.000	26806.906
32381.250	26723.312
32427.094	26639.656
32468.719	26551.125
32511.156	26464.625
32556.312	26380.750
32602.594	26292.500
32648.531	26202.750
32692.344	26118.687
32732.094	26031.812
32769.344	25941.500
32808.469	25855.875
32849.625	25768.625
32891.312	25676.562
32932.250	25588.656
32970.875	25501.562
33006.219	25409.125
33039.625	25318.375
33074.094	25230.719
33110.687	25138.781
33148.250	25047.312
33185.156	24960.469
33221.406	24868.969
33255.500	24775.219
33286.312	24686.187
33314.687	24594.656
33343.344	24499.781
33373.469	24410.000
33405.094	24317.969
33436.969	24221.812
33468.062	24131.500
33498.187	24040.156
33526.656	23944.687
33553.156	23853.656
33577.219	23761.281
33599.812	23664.406
33622.719	23572.312
33646.625	23479.687
33671.219	23381.937
33696.031	23288.469
33720.250	23195.437
33743.406	23097.656
33765.875	23005.250
33787.375	22912.875
33807.094	22814.844
33825.469	22720.406
33842.219	22626.875
33857.687	22528.344
33872.187	22433.844
33886.250	22339.687
33900.812	22240.406
33915.406	22145.500
33929.844	22051.906
33944.375	21953.531
33958.594	21859.375
33972.469	21764.344
33985.594	21664.781
33997.812	21570.000
34009.094	21474.875
34019.594	21374.750
34029.469	21279.219
34038.812	21183.406
34047.469	21083.687
34055.156	20989.844
34061.875	20894.875
34067.906	20794.719
34073.000	20699.531
34077.406	20603.281
34081.125	20503.312
34084.250	20408.406
34086.437	20311.500
34088.469	20211.187
34089.469	20116.594
34090.469	20020.344
34090.469	19921.437
34090.469	19827.219
34090.469	19729.594
34090.000	19630.094
34089.000	19535.812
34087.094	19437.906
34084.156	19338.250
34079.750	19243.531
34074.469	19145.500
34068.500	19047.469
34061.812	18954.437
34054.469	18856.781
34046.344	18758.094
34037.281	18664.000
34027.437	18565.906
34016.500	18468.156
34004.844	18374.125
33992.625	18275.812
33980.000	18177.906
33966.469	18084.844
33952.031	17987.625
33936.500	17891.562
33920.375	17798.125
33903.750	17700.250
33886.906	17603.906
33870.000	17510.906
33853.656	17412.937
33837.781	17316.312
33821.687	17223.312
33804.500	17125.937
33786.000	17031.250
33766.250	16939.969
33745.250	16843.437
33722.844	16747.750
33699.125	16655.844
33674.750	16559.719
33649.187	16464.781
33622.594	16373.281
33595.594	16277.500
33569.219	16182.375
33544.562	16092.250
33520.187	15998.250
33494.125	15904.500
33466.594	15814.437
33437.125	15720.656
33406.250	15626.219
33374.156	15536.937
33340.500	15444.187
33306.500	15349.312
33273.937	15260.062
33243.937	15168.625
33213.312	15074.969
33180.656	14987.469
33145.719	14898.344
33108.812	14804.531
33070.687	14715.906
33031.062	14627.625
32992.094	14535.031
32956.250	14446.469
32920.687	14359.219
32883.625	14267.594
32843.875	14178.062
32802.344	14092.937
32758.906	14004.250
32715.750	13915.344
32675.562	13830.906
32636.094	13743.469
32594.406	13653.406
32549.719	13569.187
32503.250	13484.187
32455.219	13394.781
32408.375	13309.125
32364.719	13226.062
32320.500	13138.969
32273.219	13053.219
32223.594	12973.031
32171.781	12889.500
32121.094	12802.625
32074.125	12720.969
32026.156	12640.031
31975.125	12555.062
31921.844	12472.594
31867.250	12394.031
31816.125	12312.500
31768.281	12228.562
31717.875	12151.250
31664.312	12074.687
31608.500	11994.281
31552.937	11915.906
31501.750	11841.781
31450.250	11765.719
31395.781	11686.719
31338.750	11612.187
31280.937	11540.937
31228.062	11467.187
31176.500	11390.719
31122.156	11319.656
31065.156	11251.469
31007.219	11181.375
30953.062	11109.562
30903.094	11044.406
30851.844	10982.844
30798.781	10919.531
30744.781	10853.844
30693.656	10791.250
30648.000	10735.312
30602.781	10680.281
30556.406	10624.969
30509.750	10568.906
30463.812	10516.937
30420.406	10471.781
30383.094	10428.469
30348.719	10385.906
30315.250	10344.469
30282.094	10303.719
30250.562	10265.937
30220.594	10234.406
30192.500	10208.062
30167.562	10184.406
30146.156	10162.219
30128.500	10141.375
30113.594	10122.344
30100.250	10105.187
30087.875	10089.656
30076.500	10075.625
30066.594	10062.969
30057.844	10051.531
30050.219	10041.719
30043.562	10033.406
30037.719	10026.625
30032.562	10020.812
30028.344	10016.281
30024.531	10012.500
30021.500	10009.594
30019.000	10007.406
30016.500	10005.281
30014.719	10003.625
30013.000	10001.656
30011.344	10000.469
30009.875	9999.219
30008.844	9997.937
30007.500	9997.437
30006.719	9996.031
30005.531	9995.500
30005.500	9995.344
30004.125	9993.594
30003.500	9993.500
30003.406	9993.500
30002.937	9993.156
30002.500	9992.781
30002.500	9992.500
30002.500	9992.500
30002.500	9992.500
30002.500	9992.500
30002.500	9992.500
30002.500	9992.500
30002.500	9992.500
30002.500	9992.500
30002.500	9992.500
30002.500	9992.500
30002.500	9992.500
