X42.6291:0.0000 Y36.8862:0.0000 Z4.9414:0.0000
X4.9613:6.7621 Y19.4063:4.7524 Z46.4863:4.4790
X5.2932:6.5131 Y19.6391:4.5572 Z46.7042:4.2414
X5.6126:6.2616 Y19.8621:4.3634 Z46.9105:4.0122
X5.9193:6.0084 Y20.0754:4.1713 Z47.1056:3.7913
X6.2134:5.7543 Y20.2792:3.9811 Z47.2898:3.5784
X6.4947:5.5000 Y20.4736:3.7931 Z47.4636:3.3733
X6.7634:5.2463 Y20.6586:3.6075 Z47.6273:3.1758
X7.0194:4.9938 Y20.8344:3.4247 Z47.7813:2.9857
X7.2628:4.7432 Y21.0011:3.2447 Z47.9260:2.8029
X7.4938:4.4951 Y21.1589:3.0680 Z48.0617:2.6270
X7.7124:4.2499 Y21.3079:2.8946 Z48.1888:2.4580
X7.9188:4.0082 Y21.4484:2.7248 Z48.3076:2.2957
X8.1133:3.7706 Y21.5805:2.5587 Z48.4184:2.1398
X8.2959:3.5374 Y21.7044:2.3966 Z48.5217:1.9903
X8.4671:3.3091 Y21.8202:2.2386 Z48.6176:1.8469
X8.6269:3.0861 Y21.9283:2.0850 Z48.7065:1.7096
X8.7758:2.8687 Y22.0288:1.9358 Z48.7886:1.5782
X8.9139:2.6574 Y22.1219:1.7912 Z48.8644:1.4525
X9.0416:2.4524 Y22.2080:1.6513 Z48.9340:1.3325
X9.1593:2.2541 Y22.2872:1.5164 Z48.9977:1.2181
X9.2672:2.0627 Y22.3597:1.3865 Z49.0559:1.1091
X9.3657:1.8786 Y22.4259:1.2618 Z49.1087:1.0055
X9.4551:1.7019 Y22.4860:1.1424 Z49.1565:0.9072
X9.5360:1.5330 Y22.5402:1.0284 Z49.1995:0.8141
X9.6086:1.3720 Y22.5889:0.9199 Z49.2380:0.7261
X9.6733:1.2191 Y22.6323:0.8170 Z49.2722:0.6433
X9.7306:1.0746 Y22.6707:0.7199 Z49.3024:0.5656
X9.7809:0.9387 Y22.7044:0.6286 Z49.3289:0.4929
X9.8246:0.8114 Y22.7337:0.5432 Z49.3518:0.4252
X9.8622:0.6929 Y22.7588:0.4638 Z49.3715:0.3625
X9.8941:0.5835 Y22.7801:0.3904 Z49.3881:0.3048
X9.9207:0.4831 Y22.7980:0.3232 Z49.4020:0.2520
X9.9425:0.3920 Y22.8126:0.2622 Z49.4134:0.2043
X9.9601:0.3102 Y22.8243:0.2075 Z49.4225:0.1615
X9.9737:0.2378 Y22.8334:0.1590 Z49.4297:0.1238
X9.9840:0.1749 Y22.8403:0.1170 Z49.4350:0.0910
X9.9914:0.1216 Y22.8452:0.0813 Z49.4388:0.0632
X9.9963:0.0779 Y22.8485:0.0521 Z49.4414:0.0405
X9.9993:0.0438 Y22.8505:0.0293 Z49.4430:0.0228
X10.0009:0.0195 Y22.8516:0.0130 Z49.4438:0.0101
X10.0014:0.0065 Y22.8519:0.0043 Z49.4441:0.0034
X10.0015:0.0000 Y22.8520:0.0000 Z49.4441:0.0000
