Writing PVE Log data!
Sample Time:25
------------

time(s)	P1	V1	E1	P2	V2	E2	P3	V3	E3
5.706	11.002	0.000	-0.911	23.311	-0.050	-0.251	48.573	0.000	1.318
5.740	11.024	-0.050	-0.933	23.333	-0.050	-0.251	48.573	0.035	1.333
5.775	11.002	0.000	-0.911	23.311	0.000	-0.273	48.596	0.000	1.296
5.810	11.002	0.000	-0.911	23.311	-0.050	-0.273	48.596	0.000	1.296
5.845	10.980	0.000	-0.911	23.311	0.000	-0.251	48.596	0.005	1.267
5.880	10.980	0.000	-0.889	23.333	0.000	-0.251	48.633	-0.035	1.262
5.915	10.980	0.000	-0.889	23.333	0.000	-0.273	48.618	0.000	1.273
5.949	10.958	0.000	-0.867	23.311	-0.050	-0.251	48.640	0.000	1.251
5.984	10.958	0.000	-0.867	23.289	0.000	-0.251	48.651	-0.025	1.251
6.019	10.958	0.000	-0.867	23.289	0.050	-0.229	48.662	0.000	1.229
6.054	10.944	0.000	-0.856	23.289	0.050	-0.251	48.662	0.000	1.229
6.088	10.936	0.000	-0.844	23.289	0.050	-0.251	48.662	0.000	1.229
6.123	10.936	0.000	-0.844	23.289	0.000	-0.229	48.684	0.050	1.229
6.159	10.936	-0.050	-0.822	23.289	0.000	-0.229	48.707	0.000	1.184
6.193	10.913	0.000	-0.844	23.320	0.000	-0.253	48.684	0.000	1.207
6.229	10.913	0.000	-0.822	23.289	0.000	-0.229	48.729	0.000	1.162
6.264	10.913	0.000	-0.822	23.289	-0.035	-0.229	48.729	-0.050	1.162
6.300	10.913	0.000	-0.822	23.289	0.000	-0.251	48.751	-0.050	1.162
6.335	10.913	-0.030	-0.822	23.311	0.000	-0.229	48.729	0.000	1.162
6.370	10.891	0.000	-0.800	23.289	-0.050	-0.229	48.756	0.000	1.133
6.405	10.891	0.000	-0.800	23.289	0.000	-0.207	48.729	0.000	1.162
6.440	10.891	0.000	-0.800	23.289	0.050	-0.229	48.773	0.000	1.140
6.475	10.869	0.000	-0.778	23.289	0.000	-0.229	48.773	0.000	1.140
6.511	10.869	0.000	-0.778	23.289	0.000	-0.207	48.773	0.000	1.118
6.546	10.869	0.000	-0.778	23.289	0.000	-0.229	48.796	0.000	1.096
6.581	10.847	0.000	-0.778	23.267	0.050	-0.207	48.773	-0.050	1.096
6.617	10.847	0.000	-0.756	23.267	0.000	-0.207	48.818	0.000	1.073
6.652	10.847	0.000	-0.756	23.289	-0.050	-0.229	48.818	0.000	1.073
6.689	10.847	0.000	-0.756	23.289	0.000	-0.207	48.818	0.000	1.073
6.724	10.847	-0.050	-0.756	23.267	0.000	-0.207	48.818	-0.050	1.051
6.760	10.824	0.000	-0.733	23.267	0.050	-0.207	48.840	0.000	1.051
6.795	10.824	0.000	-0.733	23.267	0.000	-0.207	48.840	0.000	1.040
6.830	10.824	0.000	-0.711	23.267	0.000	-0.229	48.847	0.000	1.029
6.866	10.802	0.000	-0.711	23.289	0.000	-0.229	48.862	0.000	1.029
6.901	10.802	0.000	-0.711	23.267	0.000	-0.207	48.862	-0.045	1.029
6.937	10.802	0.000	-0.711	23.267	0.000	-0.207	48.884	0.000	1.029
6.973	10.780	0.000	-0.711	23.267	0.050	-0.207	48.884	0.000	1.029
7.007	10.780	0.000	-0.689	23.267	0.000	-0.207	48.907	0.000	1.007
7.043	10.758	0.050	-0.667	23.267	0.000	-0.207	48.907	0.000	0.984
7.078	10.758	0.000	-0.667	23.267	0.000	-0.207	48.929	0.000	0.984
7.114	10.758	0.000	-0.667	23.244	0.050	-0.207	48.907	0.000	0.984
7.150	10.758	0.000	-0.667	23.267	0.000	-0.207	48.929	0.000	0.962
7.185	10.758	0.000	-0.667	23.244	0.000	-0.207	48.907	0.000	0.984
7.220	10.736	0.050	-0.644	23.244	0.000	-0.207	48.929	-0.050	0.962
7.255	10.736	0.000	-0.644	23.267	0.050	-0.184	48.951	0.000	0.940
7.290	10.736	0.000	-0.644	23.267	-0.050	-0.207	48.951	0.000	0.940
7.325	10.736	0.000	-0.644	23.244	0.000	-0.184	48.973	-0.060	0.940
7.360	10.736	0.000	-0.622	23.244	0.050	-0.207	48.973	-0.050	0.918
7.396	10.713	0.000	-0.622	23.244	0.050	-0.184	48.996	0.000	0.896
7.431	10.713	0.000	-0.622	23.244	0.050	-0.184	48.973	-0.050	0.918
7.466	10.713	0.000	-0.622	23.244	0.000	-0.184	48.996	-0.050	0.873
7.501	10.691	0.000	-0.622	23.244	-0.050	-0.169	48.996	0.000	0.896
7.535	10.691	0.000	-0.600	23.244	0.000	-0.184	49.018	0.000	0.873
