Writing PVE Log data!
Sample Time:50
------------

time(s)	P1	V1	E1	P2	V2	E2	P3	V3	E3
6.854	10.824	0.000	-0.711	23.311	-0.050	-0.251	48.862	0.000	1.029
6.911	10.802	0.000	-0.711	23.289	0.050	-0.251	48.862	0.000	1.007
6.969	10.789	0.000	-0.711	23.289	0.000	-0.229	48.884	0.000	1.007
7.028	10.802	0.000	-0.711	23.289	0.000	-0.229	48.936	0.030	0.984
7.084	10.780	0.000	-0.689	23.289	0.000	-0.229	48.929	0.000	0.984
7.142	10.780	0.000	-0.689	23.289	0.000	-0.229	48.929	0.000	0.962
7.199	10.780	0.000	-0.689	23.267	0.000	-0.229	48.951	0.000	0.940
7.258	10.758	0.000	-0.667	23.289	0.000	-0.229	48.973	0.000	0.918
7.318	10.736	0.000	-0.644	23.267	0.000	-0.207	48.973	0.000	0.918
7.377	10.736	0.000	-0.644	23.267	0.050	-0.207	48.996	0.000	0.896
7.437	10.736	0.000	-0.644	23.267	0.000	-0.207	48.996	0.000	0.896
7.497	10.736	0.000	-0.622	23.267	0.050	-0.229	49.018	0.000	0.873
7.556	10.713	0.000	-0.622	23.289	0.000	-0.207	49.040	0.000	0.873
