Writing PVE Log data!
Sample Time:25
------------

time(s)	P1	V1	E1	P2	V2	E2	P3	V3	E3
4.849	5.260	-0.176	1.104	0.342	-0.065	1.678	-3.944	0.166	1.540
4.884	-1.013	-0.166	0.798	-0.600	0.000	1.360	3.022	0.251	1.953
4.919	-5.847	-0.120	0.436	0.311	0.030	0.989	10.873	0.241	2.396
4.953	-8.711	-0.065	0.160	2.520	0.050	0.776	18.509	0.216	2.776
4.987	-9.420	0.000	0.240	5.222	0.075	0.813	25.051	0.166	3.111
5.023	-8.344	0.035	0.531	7.993	0.065	1.111	30.880	0.141	3.307
5.057	-5.984	0.085	0.984	10.840	0.085	1.409	35.413	0.110	3.440
5.092	-3.033	0.070	1.338	13.209	0.095	1.882	38.971	0.100	3.478
5.127	-0.242	0.100	1.456	15.327	0.035	2.198	41.704	0.080	3.391
5.162	2.847	0.080	1.460	17.098	0.040	2.380	43.673	0.065	3.240
5.196	5.089	0.045	1.429	18.476	0.000	2.449	45.138	0.015	3.091
5.231	6.827	0.040	1.316	19.498	0.050	2.451	46.084	0.080	2.947
5.266	8.002	0.040	1.200	20.193	0.005	2.376	46.762	0.020	2.784
5.299	8.636	0.020	1.167	20.622	0.000	2.282	47.084	0.000	2.687
5.333	8.900	0.000	1.133	20.878	0.025	2.191	47.196	0.000	2.682
5.367	8.980	0.000	1.133	21.173	0.010	1.891	47.278	0.050	2.629
5.402	9.589	0.000	0.653	22.222	0.085	0.909	47.733	0.045	2.216
5.437	10.744	0.025	-0.633	23.347	0.010	-0.262	48.107	0.030	1.807
5.465	11.278	0.000	-1.056	23.653	0.000	-0.596	48.107	0.040	1.802
5.502	11.782	0.005	-1.644	23.644	0.050	-0.607	47.951	0.000	1.962
5.537	11.891	0.000	-1.800	23.500	-0.005	-0.438	47.796	0.000	2.113
5.572	11.747	0.000	-1.656	23.400	0.000	-0.340	47.796	0.035	2.096
5.608	11.569	0.000	-1.556	23.422	-0.050	-0.382	47.907	0.015	1.984
5.643	11.469	0.000	-1.378	23.400	0.000	-0.362	48.040	0.000	1.873
5.679	11.402	0.000	-1.311	23.422	0.000	-0.340	48.084	0.000	1.829
5.714	11.380	0.000	-1.289	23.400	0.000	-0.340	48.107	-0.050	1.784
5.749	11.402	0.000	-1.311	23.400	0.000	-0.340	48.096	0.000	1.813
5.783	11.447	0.000	-1.356	23.400	0.000	-0.340	48.040	0.050	1.873
5.819	11.447	0.000	-1.356	23.400	0.050	-0.362	48.018	0.000	1.873
5.854	11.447	0.000	-1.356	23.400	0.050	-0.340	48.040	0.000	1.851
5.889	11.424	0.000	-1.333	23.422	0.000	-0.362	48.062	0.000	1.851
5.924	11.424	0.000	-1.333	23.400	0.050	-0.340	48.084	-0.040	1.807
5.959	11.389	0.025	-1.311	23.400	0.000	-0.340	48.107	0.050	1.784
5.993	11.380	0.000	-1.311	23.400	0.000	-0.340	48.107	0.000	1.807
6.028	11.402	0.000	-1.311	23.400	0.000	-0.340	48.129	0.050	1.784
6.064	11.380	0.000	-1.267	23.400	0.000	-0.340	48.129	-0.050	1.762
6.098	11.358	0.000	-1.289	23.400	-0.050	-0.340	48.129	0.000	1.784
6.133	11.380	0.000	-1.289	23.378	0.000	-0.340	48.129	-0.050	1.740
6.168	11.358	0.000	-1.267	23.378	-0.050	-0.340	48.151	0.000	1.740
6.203	11.336	0.000	-1.244	23.378	0.000	-0.318	48.169	0.030	1.756
6.237	11.358	0.000	-1.267	23.400	0.000	-0.340	48.151	0.000	1.718
6.273	11.336	0.000	-1.244	23.378	0.035	-0.318	48.173	0.000	1.718
6.308	11.313	0.050	-1.222	23.378	0.000	-0.318	48.196	0.000	1.696
