Writing PVE Log data!
Sample Time:50
------------

time(s)	P1	V1	E1	P2	V2	E2	P3	V3	E3
10.051	10.691	0.000	-0.600	23.244	0.000	-0.207	49.040	0.000	0.851
10.111	10.691	0.000	-0.600	23.267	0.000	-0.184	49.040	-0.050	0.851
10.168	10.691	0.000	-0.600	23.276	0.000	-0.184	49.040	0.000	0.851
10.227	10.691	-0.030	-0.600	23.244	0.000	-0.184	49.040	0.000	0.851
10.285	10.691	-0.050	-0.600	23.267	0.000	-0.184	49.084	0.000	0.829
10.344	10.669	0.000	-0.578	23.244	0.000	-0.184	49.084	0.000	0.807
10.402	10.669	0.000	-0.556	23.244	0.000	-0.184	49.107	0.000	0.784
10.459	10.647	-0.035	-0.556	23.244	0.000	-0.184	49.084	-0.050	0.784
10.519	10.624	0.000	-0.533	23.244	0.000	-0.184	49.107	0.000	0.784
10.577	10.647	-0.050	-0.556	23.222	0.000	-0.162	49.107	-0.050	0.762
10.636	10.624	0.000	-0.533	23.222	0.000	-0.162	49.129	-0.005	0.776
10.694	10.624	0.000	-0.533	23.244	0.050	-0.162	49.151	0.000	0.740
10.752	10.624	-0.050	-0.533	23.244	0.000	-0.184	49.151	-0.050	0.718
10.810	10.602	0.000	-0.544	23.222	0.000	-0.162	49.151	0.000	0.718
10.867	10.580	0.000	-0.489	23.222	0.000	-0.184	49.173	0.000	0.718
10.926	10.602	0.000	-0.489	23.222	0.000	-0.162	49.173	0.050	0.696
10.985	10.558	-0.020	-0.489	23.222	0.000	-0.162	49.173	0.000	0.696
11.042	10.580	0.000	-0.489	23.222	0.000	-0.162	49.196	0.000	0.696
11.100	10.558	0.000	-0.467	23.222	0.000	-0.162	49.218	0.000	0.673
11.158	10.558	0.000	-0.467	23.222	0.000	-0.184	49.218	0.000	0.673
11.217	10.558	0.000	-0.467	23.222	0.030	-0.162	49.240	0.000	0.651
11.275	10.558	0.000	-0.467	23.244	0.000	-0.162	49.240	0.000	0.629
11.333	10.558	0.000	-0.467	23.222	0.000	-0.162	49.262	-0.030	0.629
11.391	10.558	-0.050	-0.467	23.222	0.000	-0.162	49.273	0.000	0.629
